"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"DL5595, DL112","JFK","FCO","delta","10/12 2:00PM","10/13 6:50AM","650","1","Embraer E175, Airbus A330-300","BOS","34700","","9","","","","5.60","USD","0","","","","","","","","0","","6","","","","5.60","USD","0","","","","","","",""
"DL5595, DL112","JFK","FCO","delta","10/28 2:00PM","10/29 8:45AM","825","1","Embraer E175, Airbus A330-300","BOS","29900","","9","","","","5.60","USD","0","","","","","","","","0","","9","","","","5.60","USD","0","","","","","","",""
"AF1, AF1204","JFK","FCO","flyingblue","10/26 5:30PM","10/27 9:20AM","650","1","Boeing 777-200, Airbus A320","CDG","18750","","9","","","","156.30","USD","90000","","9","","","","248.50","USD","0","","5","","","","363.90","USD","0","","","","","","",""
"AF1, AF1104","JFK","FCO","flyingblue","11/04 4:30PM","11/05 11:45AM","795","1","Boeing 777-200, Airbus A320","CDG","25000","","9","","","","157.19","USD","0","","4","","","","250.10","USD","0","","4","","","","366.30","USD","0","","","","","","",""
"DL182","JFK","FCO","delta","10/22 5:30PM","10/23 7:55AM","505","0","Airbus A330-300","","34000","","9","","","","5.60","USD","129500","","5","","","","5.60","USD","0","","7","","","","5.60","USD","0","","","","","","",""
"DL182","JFK","FCO","delta","10/29 6:20PM","10/30 7:45AM","505","0","Airbus A330-300","","39200","","6","","","","5.60","USD","0","","9","","","","5.60","USD","0","","9","","","","5.60","USD","0","","","","","","",""
"DL2293, DL298","JFK","FCO","delta","10/18 5:40PM","10/19 12:40PM","780","1","Boeing 737-900, Airbus A350-900","ATL","29900","","9","","","","5.60","USD","0","","","","","","","","0","","5","","","","5.60","USD","0","","","","","","",""
"KL646, KL1603","JFK","FCO","flyingblue","10/21 7:10PM","10/22 11:45AM","635","1","Boeing 777-200, Airbus A321neo","AMS","18750","","9","","","","169.00","USD","89500","","4","","","","261.89","USD","0","","2","","","","378.10","USD","0","","","","","","",""
"AF9, AF1304","JFK","FCO","flyingblue","10/12 11:30PM","10/13 4:35PM","665","1","Boeing 777-300ER, Airbus A220","CDG","18750","","7","","","","156.30","USD","40000","","9","","","","248.50","USD","141500","","9","","","","363.90","USD","0","","","","","","",""
"AF11, AF1304","JFK","FCO","delta","10/27 2:00AM","10/27 5:25PM","625","1","Boeing 777-300ER, Airbus A320","CDG","37000","","6","","","","24.60","USD","0","","","","","","","","0","","9","","","","24.60","USD","0","","","","","","",""
