"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"AF1505, AF12","FCO","JFK","flyingblue","11/02 4:00PM","11/02 10:45PM","765","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","0","","","","","","","","148000","","2","","","","455.53","USD","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/11 6:05AM","10/11 12:55PM","770","1","Airbus A320, Boeing 777-300ER","CDG","25500","","9","","","","224.83","USD","0","","8","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"AF1105, AF10","FCO","JFK","flyingblue","10/15 12:30PM","10/15 8:45PM","855","1","Airbus A320, Boeing 777-300ER","CDG","18750","","8","","","","224.73","USD","89000","","8","","","","321.52","USD","148500","","8","","","","455.33","USD","0","","","","","","",""
"AF1105, AF10","FCO","JFK","flyingblue","10/19 12:30PM","10/19 8:45PM","855","1","Airbus A320, Boeing 777-300ER","CDG","40500","","8","","","","224.73","USD","0","","3","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","10/08 10:35AM","10/08 7:15PM","880","1","Airbus A321neo, Boeing 787-10","AMS","25000","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","4","","","","455.43","USD","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/25 12:45PM","10/25 7:55PM","730","1","Airbus A320, Boeing 777-300ER","CDG","40500","","4","","","","226.33","USD","0","","4","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"DL231","FCO","JFK","delta","10/13 12:15PM","10/13 4:11PM","596","0","Airbus A330-300","","49000","","9","","","","55.63","EUR","0","","","","","","","","0","","9","","","","55.63","EUR","0","","","","","","",""
"DL299, DL2692","FCO","JFK","delta","10/11 2:45PM","10/11 11:47PM","902","1","Airbus A330-900neo, Airbus A220","MSP","145000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"DL67, DL1480","FCO","JFK","delta","10/14 1:10PM","10/14 10:51PM","941","1","Airbus A330-900neo, Boeing 737-900","ATL","64000","","9","","","","60.52","EUR","0","","","","","","","","0","","9","","","","60.52","EUR","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/06 12:30PM","10/06 6:45PM","735","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","0","","","","","","","","0","","9","","","","455.53","USD","0","","","","","","",""
